Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),ZONE ONE:Zone Windows Total Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Sunlit Fraction [](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Incident Solar Radiation Rate per Area [W/m2](TimeStep),ZN001:WALL001:WIN001:Surface Window Transmitted Solar Radiation Rate [W](TimeStep),ZN001:WALL001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:Surface Outside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Inside Face Temperature [C](TimeStep),ZN001:WALL001:WIN001:Surface Outside Face Temperature [C](TimeStep),ZONE ONE:Zone Mean Air Temperature [C](TimeStep) 
 01/01  00:15:00,-4.324999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.604499962276434,-5.829134015923689,7.155338668322088,-4.144854034272669,10.161615946376524 
 01/01  00:30:00,-6.949999999999999,0.0,0.0,0.0,0.0,0.0,0.0,9.41866135980735,-8.295835152905001,6.6263491318302389,-6.286949734411735,10.055418875683186 
 01/01  00:45:00,-9.575,0.0,0.0,0.0,0.0,0.0,0.0,9.213201937524414,-10.770411253865369,6.090035037236362,-8.435289282287727,9.919344217362422 
 01/01  01:00:00,-12.2,0.0,0.0,0.0,0.0,0.0,0.0,8.992456905627341,-13.251638052359147,5.538335142993276,-10.590970697144883,9.762936167661663 
 01/01  01:15:00,-12.075,0.0,0.0,0.0,0.0,0.0,0.0,8.915237829667765,-13.052048327914895,5.450852107188098,-10.421835349784829,9.621592604681691 
 01/01  01:30:00,-11.95,0.0,0.0,0.0,0.0,0.0,0.0,8.825255875271486,-12.875172320508707,5.401330694883313,-10.27181688135056,9.51114834680958 
 01/01  01:45:00,-11.825,0.0,0.0,0.0,0.0,0.0,0.0,8.751929959993089,-12.697186541867474,5.357302924756368,-10.121522191477311,9.425806205252118 
 01/01  02:00:00,-11.7,0.0,0.0,0.0,0.0,0.0,0.0,8.689236723429243,-12.519294874879832,5.325788581246229,-9.969104857209345,9.354718725749157 
 01/01  02:15:00,-11.549999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.628012690831819,-12.391314405672598,5.301570153547914,-9.816342708142657,9.289354354980649 
 01/01  02:30:00,-11.399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,8.569644938909108,-12.264617724471908,5.279017901645034,-9.66334172522329,9.225708804977007 
 01/01  02:45:00,-11.25,0.0,0.0,0.0,0.0,0.0,0.0,8.511967189111707,-12.139342600335479,5.258092976434227,-9.510045166916939,9.162776274614537 
 01/01  03:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.454721750074878,-12.015542183383765,5.237756310993291,-9.356662035192926,9.100540957471486 
 01/01  03:15:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.393733060290114,-11.989818137614729,5.175735487915858,-9.39704624716228,9.038246535154565 
 01/01  03:30:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.333174012415248,-11.965073651084874,5.116238942303312,-9.435875038241307,8.975569389785618 
 01/01  03:45:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.272472082408987,-11.941733888081802,5.0570689062312799,-9.473582382788209,8.912622450260399 
 01/01  04:00:00,-11.1,0.0,0.0,0.0,0.0,0.0,0.0,8.211734609632975,-11.919673747827016,4.998085382987256,-9.510158878590687,8.84961783015351 
 01/01  04:15:00,-10.975,0.0,0.0,0.0,0.0,0.0,0.0,8.156488355933672,-11.797963380366971,4.970444849572857,-9.421232497808888,8.787718505942208 
 01/01  04:30:00,-10.85,0.0,0.0,0.0,0.0,0.0,0.0,8.101468639824495,-11.676305420747143,4.941172001487871,-9.324228769224988,8.727385762495837 
 01/01  04:45:00,-10.725,0.0,0.0,0.0,0.0,0.0,0.0,8.047480645011447,-11.554624689453869,4.912287598744797,-9.226484707152963,8.668390075508551 
 01/01  05:00:00,-10.6,0.0,0.0,0.0,0.0,0.0,0.0,7.994346654841759,-11.432953379299809,4.884242644157837,-9.128548083882152,8.61036510761743 
